itemSet,setSize,target,conversion
51-21-22-39,4,52,1
22,1,76,0
22,1,16,0
22,1,68,0
22,1,39,0
22,1,19,0
53-22,2,81,0
53-22,2,65,0
53-22,2,21,0
53-22,2,3,0
53-22,2,8,0
22,1,53,1
9-25,2,74,0
9-25,2,58,0
9-25,2,16,0
9-25,2,95,0
9-25,2,86,0
9,1,25,1
54,1,37,0
54,1,51,0
54,1,15,0
54,1,56,0
54,1,34,0
55-11-0,3,86,0
55-11-0,3,65,0
55-11-0,3,12,0
55-11-0,3,27,0
55-11-0,3,23,0
0-55,2,11,1
56,1,17,0
56,1,13,0
56,1,87,0
56,1,75,0
56,1,89,0
3,1,0,0
3,1,67,0
3,1,78,0
3,1,65,0
3,1,66,0
53,1,44,0
53,1,75,0
53,1,68,0
53,1,35,0
53,1,32,0
11,1,76,0
11,1,7,0
11,1,13,0
11,1,0,0
11,1,83,0
59,1,22,0
59,1,18,0
59,1,83,0
59,1,78,0
59,1,25,0
60-61-23-10-28-62-63,7,55,0
60-61-23-10-28-62-63,7,12,0
60-61-23-10-28-62-63,7,97,0
60-61-23-10-28-62-63,7,38,0
60-61-23-10-28-62-63,7,94,0
10-28-23-60-61-62,6,63,1
64-30-65-66-67-68,6,84,0
64-30-65-66-67-68,6,86,0
64-30-65-66-67-68,6,73,0
64-30-65-66-67-68,6,91,0
64-30-65-66-67-68,6,48,0
65-66-67-68-30,5,64,1
29-11,2,79,0
29-11,2,3,0
29-11,2,52,0
29-11,2,70,0
29-11,2,40,0
29,1,11,1
66-21,2,18,0
66-21,2,7,0
66-21,2,72,0
66-21,2,0,0
66-21,2,15,0
21,1,66,1
22,1,71,0
22,1,37,0
22,1,50,0
22,1,25,0
22,1,1,0
65-20,2,87,0
65-20,2,37,0
65-20,2,75,0
65-20,2,45,0
65-20,2,5,0
65,1,20,1
11,1,70,0
11,1,52,0
11,1,44,0
11,1,93,0
11,1,26,0
23-30-39-47-26,5,59,0
23-30-39-47-26,5,28,0
23-30-39-47-26,5,64,0
23-30-39-47-26,5,78,0
23-30-39-47-26,5,56,0
26-47-30-39,4,23,1
71-72-73-74-0,5,56,0
71-72-73-74-0,5,54,0
71-72-73-74-0,5,61,0
71-72-73-74-0,5,82,0
71-72-73-74-0,5,68,0
0-73-74-72,4,71,1
64,1,70,0
64,1,50,0
64,1,51,0
64,1,4,0
64,1,26,0
21-11,2,90,0
21-11,2,51,0
21-11,2,27,0
21-11,2,10,0
21-11,2,68,0
11,1,21,1
25-0,2,47,0
25-0,2,11,0
25-0,2,26,0
25-0,2,39,0
25-0,2,53,0
25,1,0,1
49-22,2,54,0
49-22,2,50,0
49-22,2,81,0
49-22,2,34,0
49-22,2,23,0
49,1,22,1
75,1,95,0
75,1,89,0
75,1,12,0
75,1,57,0
75,1,81,0
76-39-34-11,4,8,0
76-39-34-11,4,59,0
76-39-34-11,4,2,0
76-39-34-11,4,13,0
76-39-34-11,4,37,0
34-76-39,3,11,1
79-80-11,3,41,0
79-80-11,3,73,0
79-80-11,3,94,0
79-80-11,3,52,0
79-80-11,3,39,0
80-11,2,79,1
39-14-30,3,73,0
39-14-30,3,6,0
39-14-30,3,59,0
39-14-30,3,27,0
39-14-30,3,11,0
30-39,2,14,1
62-63-22,3,15,0
62-63-22,3,34,0
62-63-22,3,49,0
62-63-22,3,60,0
62-63-22,3,80,0
62-63,2,22,1
81-39-30-23-14-55,6,61,0
81-39-30-23-14-55,6,44,0
81-39-30-23-14-55,6,18,0
81-39-30-23-14-55,6,97,0
81-39-30-23-14-55,6,22,0
39-14-55-23-30,5,81,1
1,1,71,0
1,1,23,0
1,1,60,0
1,1,52,0
1,1,11,0
82-81,2,99,0
82-81,2,37,0
82-81,2,23,0
82-81,2,38,0
82-81,2,33,0
82,1,81,1
55-84-56-1-2-11,6,97,0
55-84-56-1-2-11,6,16,0
55-84-56-1-2-11,6,77,0
55-84-56-1-2-11,6,34,0
55-84-56-1-2-11,6,44,0
1-2-84-55-56,5,11,1
38,1,44,0
38,1,58,0
38,1,91,0
38,1,51,0
38,1,87,0
21,1,41,0
21,1,51,0
21,1,29,0
21,1,31,0
21,1,60,0
50-85-11,3,59,0
50-85-11,3,65,0
50-85-11,3,31,0
50-85-11,3,68,0
50-85-11,3,84,0
50-85,2,11,1
86-43,2,11,0
86-43,2,50,0
86-43,2,81,0
86-43,2,52,0
86-43,2,71,0
43,1,86,1
39-87-30-23-80-1,6,99,0
39-87-30-23-80-1,6,2,0
39-87-30-23-80-1,6,98,0
39-87-30-23-80-1,6,22,0
39-87-30-23-80-1,6,52,0
1-39-80-87-23,5,30,1
7-88-8-67-39-89,6,58,0
7-88-8-67-39-89,6,64,0
7-88-8-67-39-89,6,28,0
7-88-8-67-39-89,6,80,0
7-88-8-67-39-89,6,25,0
67-7-8-39-89,5,88,1
85,1,93,0
85,1,91,0
85,1,73,0
85,1,15,0
85,1,26,0
67-30-7-10-9-76,6,44,0
67-30-7-10-9-76,6,85,0
67-30-7-10-9-76,6,60,0
67-30-7-10-9-76,6,54,0
67-30-7-10-9-76,6,81,0
67-7-9-10-76,5,30,1
65,1,73,0
65,1,31,0
65,1,55,0
65,1,80,0
65,1,35,0
85-11,2,75,0
85-11,2,1,0
85-11,2,31,0
85-11,2,59,0
85-11,2,82,0
85,1,11,1
21,1,34,0
21,1,48,0
21,1,49,0
21,1,20,0
21,1,47,0
11,1,92,0
11,1,16,0
11,1,59,0
11,1,58,0
11,1,68,0
11-0,2,41,0
11-0,2,15,0
11-0,2,56,0
11-0,2,8,0
11-0,2,18,0
0,1,11,1
51-82,2,92,0
51-82,2,52,0
51-82,2,59,0
51-82,2,87,0
51-82,2,7,0
82,1,51,1
41-43,2,93,0
41-43,2,36,0
41-43,2,38,0
41-43,2,56,0
41-43,2,18,0
41,1,43,1
39-30-81-51,4,13,0
39-30-81-51,4,83,0
39-30-81-51,4,7,0
39-30-81-51,4,11,0
39-30-81-51,4,65,0
81-51-39,3,30,1
40,1,18,0
40,1,73,0
40,1,77,0
40,1,5,0
40,1,13,0
24,1,99,0
24,1,91,0
24,1,32,0
24,1,18,0
24,1,49,0
11,1,18,0
11,1,54,0
11,1,61,0
11,1,43,0
11,1,96,0
11-21,2,57,0
11-21,2,34,0
11-21,2,96,0
11-21,2,77,0
11-21,2,40,0
11,1,21,1
65,1,51,0
65,1,63,0
65,1,64,0
65,1,72,0
65,1,70,0
36-11,2,33,0
36-11,2,42,0
36-11,2,70,0
36-11,2,12,0
36-11,2,19,0
11,1,36,1
61-30-11,3,23,0
61-30-11,3,17,0
61-30-11,3,68,0
61-30-11,3,44,0
61-30-11,3,31,0
11-30,2,61,1
36-93,2,22,0
36-93,2,95,0
36-93,2,44,0
36-93,2,72,0
36-93,2,11,0
93,1,36,1
21,1,14,0
21,1,74,0
21,1,18,0
21,1,13,0
21,1,64,0
39-50,2,32,0
39-50,2,70,0
39-50,2,24,0
39-50,2,12,0
39-50,2,92,0
39,1,50,1
95-60-38-80-8-11,6,77,0
95-60-38-80-8-11,6,66,0
95-60-38-80-8-11,6,33,0
95-60-38-80-8-11,6,92,0
95-60-38-80-8-11,6,5,0
38-8-11-60-95,5,80,1
31-25,2,43,0
31-25,2,11,0
31-25,2,77,0
31-25,2,76,0
31-25,2,39,0
31,1,25,1
96,1,4,0
96,1,20,0
96,1,24,0
96,1,40,0
96,1,81,0
61-81-30,3,86,0
61-81-30,3,54,0
61-81-30,3,50,0
61-81-30,3,42,0
61-81-30,3,74,0
61-30,2,81,1
1-11,2,21,0
1-11,2,13,0
1-11,2,16,0
1-11,2,83,0
1-11,2,95,0
1,1,11,1
11,1,63,0
11,1,59,0
11,1,80,0
11,1,38,0
11,1,77,0
97-14-0,3,29,0
97-14-0,3,95,0
97-14-0,3,25,0
97-14-0,3,61,0
97-14-0,3,8,0
97-14,2,0,1
98,1,85,0
98,1,20,0
98,1,60,0
98,1,54,0
98,1,42,0
1-52,2,55,0
1-52,2,38,0
1-52,2,7,0
1-52,2,31,0
1-52,2,4,0
1,1,52,1
95-80-79,3,63,0
95-80-79,3,62,0
95-80-79,3,9,0
95-80-79,3,8,0
95-80-79,3,13,0
80-95,2,79,1
76-12-43-18-30-11,6,14,0
76-12-43-18-30-11,6,42,0
76-12-43-18-30-11,6,84,0
76-12-43-18-30-11,6,25,0
76-12-43-18-30-11,6,79,0
11-43-76-12-30,5,18,1
38-53,2,52,0
38-53,2,21,0
38-53,2,31,0
38-53,2,25,0
38-53,2,22,0
53,1,38,1
51,1,6,0
51,1,91,0
51,1,4,0
51,1,50,0
51,1,58,0
36-1,2,90,0
36-1,2,19,0
36-1,2,2,0
36-1,2,11,0
36-1,2,94,0
1,1,36,1
23-22,2,2,0
23-22,2,1,0
23-22,2,39,0
23-22,2,69,0
23-22,2,57,0
23,1,22,1
50-62-25,3,54,0
50-62-25,3,14,0
50-62-25,3,37,0
50-62-25,3,31,0
50-62-25,3,65,0
25-62,2,50,1
43-41-24,3,37,0
43-41-24,3,11,0
43-41-24,3,35,0
43-41-24,3,93,0
43-41-24,3,28,0
24-41,2,43,1
59,1,94,0
59,1,89,0
59,1,52,0
59,1,73,0
59,1,53,0
21,1,96,0
21,1,23,0
21,1,76,0
21,1,91,0
21,1,48,0
11,1,3,0
11,1,99,0
11,1,15,0
11,1,5,0
11,1,82,0
6-81-30-16,4,38,0
6-81-30-16,4,19,0
6-81-30-16,4,33,0
6-81-30-16,4,37,0
6-81-30-16,4,8,0
16-81-6,3,30,1
2,1,48,0
2,1,34,0
2,1,55,0
2,1,98,0
2,1,20,0
34-0,2,70,0
34-0,2,23,0
34-0,2,89,0
34-0,2,44,0
34-0,2,62,0
0,1,34,1
55-30-39-11,4,62,0
55-30-39-11,4,17,0
55-30-39-11,4,42,0
55-30-39-11,4,93,0
55-30-39-11,4,37,0
11-30-39,3,55,1
39-67-15-21,4,19,0
39-67-15-21,4,50,0
39-67-15-21,4,89,0
39-67-15-21,4,41,0
39-67-15-21,4,57,0
67-39-15,3,21,1
38-79-88-62-21,5,65,0
38-79-88-62-21,5,69,0
38-79-88-62-21,5,2,0
38-79-88-62-21,5,40,0
38-79-88-62-21,5,57,0
88-62-21-38,4,79,1
71-60-74-84-10-80-1-85-11,9,16,0
71-60-74-84-10-80-1-85-11,9,50,0
71-60-74-84-10-80-1-85-11,9,46,0
71-60-74-84-10-80-1-85-11,9,4,0
71-60-74-84-10-80-1-85-11,9,67,0
1-71-74-10-11-80-84-85,8,60,1
20,1,39,0
20,1,15,0
20,1,92,0
20,1,53,0
20,1,69,0
97-23,2,36,0
97-23,2,68,0
97-23,2,35,0
97-23,2,88,0
97-23,2,28,0
23,1,97,1
80-22-11,3,58,0
80-22-11,3,49,0
80-22-11,3,14,0
80-22-11,3,10,0
80-22-11,3,81,0
80-22,2,11,1
76-39-17-24,4,30,0
76-39-17-24,4,67,0
76-39-17-24,4,52,0
76-39-17-24,4,73,0
76-39-17-24,4,96,0
24-17-39,3,76,1
37,1,3,0
37,1,35,0
37,1,52,0
37,1,70,0
37,1,34,0
67-44-45-93,4,55,0
67-44-45-93,4,5,0
67-44-45-93,4,17,0
67-44-45-93,4,39,0
67-44-45-93,4,97,0
67-44-93,3,45,1
52,1,64,0
52,1,46,0
52,1,22,0
52,1,42,0
52,1,47,0
97-60-73-46-21,5,32,0
97-60-73-46-21,5,1,0
97-60-73-46-21,5,8,0
97-60-73-46-21,5,24,0
97-60-73-46-21,5,65,0
73-97-60-46,4,21,1
97-56,2,34,0
97-56,2,69,0
97-56,2,1,0
97-56,2,10,0
97-56,2,99,0
56,1,97,1
86-48,2,72,0
86-48,2,2,0
86-48,2,30,0
86-48,2,10,0
86-48,2,77,0
48,1,86,1
95-80-6-15-7-39-30-79-68-52,10,33,0
95-80-6-15-7-39-30-79-68-52,10,44,0
95-80-6-15-7-39-30-79-68-52,10,74,0
95-80-6-15-7-39-30-79-68-52,10,46,0
95-80-6-15-7-39-30-79-68-52,10,56,0
68-6-7-39-15-80-52-30-95,9,79,1
0,1,84,0
0,1,52,0
0,1,63,0
0,1,28,0
0,1,40,0
16-25,2,36,0
16-25,2,23,0
16-25,2,68,0
16-25,2,51,0
16-25,2,58,0
16,1,25,1
61-68-88-10-44-1,6,70,0
61-68-88-10-44-1,6,89,0
61-68-88-10-44-1,6,26,0
61-68-88-10-44-1,6,25,0
61-68-88-10-44-1,6,96,0
1-68-10-88-61,5,44,1
59,1,84,0
59,1,53,0
59,1,95,0
59,1,97,0
59,1,54,0
10,1,79,0
10,1,81,0
10,1,6,0
10,1,52,0
10,1,7,0
84,1,45,0
84,1,8,0
84,1,61,0
84,1,95,0
84,1,19,0
85-52-11,3,95,0
85-52-11,3,73,0
85-52-11,3,54,0
85-52-11,3,68,0
85-52-11,3,79,0
11-85,2,52,1
30-39-81,3,55,0
30-39-81,3,15,0
30-39-81,3,54,0
30-39-81,3,11,0
30-39-81,3,53,0
30-39,2,81,1
1,1,23,0
1,1,58,0
1,1,88,0
1,1,35,0
1,1,94,0
98-74-66-69-36-70-3-11,8,81,0
98-74-66-69-36-70-3-11,8,97,0
98-74-66-69-36-70-3-11,8,1,0
98-74-66-69-36-70-3-11,8,4,0
98-74-66-69-36-70-3-11,8,30,0
98-66-36-69-70-3-74,7,11,1
11,1,0,0
11,1,1,0
11,1,46,0
11,1,61,0
11,1,2,0
80-10-22-11,4,2,0
80-10-22-11,4,85,0
80-10-22-11,4,86,0
80-10-22-11,4,39,0
80-10-22-11,4,15,0
10-11-22,3,80,1
0,1,43,0
0,1,11,0
0,1,42,0
0,1,20,0
0,1,57,0
21,1,47,0
21,1,14,0
21,1,7,0
21,1,79,0
21,1,77,0
11,1,60,0
11,1,29,0
11,1,66,0
11,1,3,0
11,1,10,0
0,1,84,0
0,1,92,0
0,1,40,0
0,1,4,0
0,1,49,0
84,1,8,0
84,1,37,0
84,1,49,0
84,1,33,0
84,1,73,0
44-61-81-30-39-64-10-70-55-23-0,11,11,0
44-61-81-30-39-64-10-70-55-23-0,11,74,0
44-61-81-30-39-64-10-70-55-23-0,11,45,0
44-61-81-30-39-64-10-70-55-23-0,11,5,0
44-61-81-30-39-64-10-70-55-23-0,11,4,0
64-70-39-10-44-81-23-55-61-30,10,0,1
64,1,41,0
64,1,31,0
64,1,67,0
64,1,18,0
64,1,53,0
78-21-11,3,64,0
78-21-11,3,26,0
78-21-11,3,82,0
78-21-11,3,89,0
78-21-11,3,35,0
11-78,2,21,1
14-11,2,13,0
14-11,2,39,0
14-11,2,21,0
14-11,2,8,0
14-11,2,97,0
11,1,14,1
96,1,98,0
96,1,87,0
96,1,85,0
96,1,44,0
96,1,16,0
51-32,2,93,0
51-32,2,52,0
51-32,2,56,0
51-32,2,95,0
51-32,2,40,0
51,1,32,1
52-11-22,3,36,0
52-11-22,3,13,0
52-11-22,3,7,0
52-11-22,3,57,0
52-11-22,3,43,0
11-22,2,52,1
3,1,4,0
3,1,79,0
3,1,31,0
3,1,60,0
3,1,7,0
2-11,2,36,0
2-11,2,89,0
2-11,2,33,0
2-11,2,27,0
2-11,2,48,0
2,1,11,1
48-11,2,47,0
48-11,2,72,0
48-11,2,63,0
48-11,2,61,0
48-11,2,77,0
48,1,11,1
51-9-39,3,97,0
51-9-39,3,86,0
51-9-39,3,27,0
51-9-39,3,0,0
51-9-39,3,18,0
51-39,2,9,1
30-71-29-40-11,5,92,0
30-71-29-40-11,5,66,0
30-71-29-40-11,5,48,0
30-71-29-40-11,5,80,0
30-71-29-40-11,5,4,0
40-11-29-30,4,71,1
11,1,71,0
11,1,57,0
11,1,2,0
11,1,24,0
11,1,45,0
11,1,72,0
11,1,58,0
11,1,79,0
11,1,25,0
11,1,73,0
26,1,40,0
26,1,15,0
26,1,71,0
26,1,62,0
26,1,75,0
83-23-55-80-2,5,12,0
83-23-55-80-2,5,52,0
83-23-55-80-2,5,88,0
83-23-55-80-2,5,82,0
83-23-55-80-2,5,29,0
80-2-83-23,4,55,1
71-66-37,3,33,0
71-66-37,3,55,0
71-66-37,3,80,0
71-66-37,3,87,0
71-66-37,3,12,0
66-37,2,71,1
11,1,57,0
11,1,92,0
11,1,83,0
11,1,48,0
11,1,60,0
26-96-61-88-8-14-90-55-81-30-89,11,78,0
26-96-61-88-8-14-90-55-81-30-89,11,36,0
26-96-61-88-8-14-90-55-81-30-89,11,21,0
26-96-61-88-8-14-90-55-81-30-89,11,79,0
26-96-61-88-8-14-90-55-81-30-89,11,82,0
96-90-8-14-81-55-88-89-61-30,10,26,1
9,1,46,0
9,1,3,0
9,1,87,0
9,1,66,0
9,1,16,0
54,1,74,0
54,1,64,0
54,1,36,0
54,1,57,0
54,1,8,0
80,1,65,0
80,1,45,0
80,1,14,0
80,1,4,0
80,1,46,0
85,1,13,0
85,1,0,0
85,1,87,0
85,1,8,0
85,1,6,0
26,1,1,0
26,1,66,0
26,1,46,0
26,1,8,0
26,1,19,0
2-21,2,10,0
2-21,2,84,0
2-21,2,8,0
2-21,2,9,0
2-21,2,97,0
21,1,2,1
45-24-1-11,4,96,0
45-24-1-11,4,10,0
45-24-1-11,4,61,0
45-24-1-11,4,21,0
45-24-1-11,4,66,0
24-1-11,3,45,1
26-91-11,3,20,0
26-91-11,3,2,0
26-91-11,3,92,0
26-91-11,3,86,0
26-91-11,3,3,0
91-11,2,26,1
47,1,22,0
47,1,91,0
47,1,43,0
47,1,9,0
47,1,70,0
38-0,2,91,0
38-0,2,52,0
38-0,2,22,0
38-0,2,67,0
38-0,2,41,0
0,1,38,1
30-87-39-15,4,49,0
30-87-39-15,4,89,0
30-87-39-15,4,37,0
30-87-39-15,4,64,0
30-87-39-15,4,90,0
39-87-15,3,30,1
81-30-56-1,4,55,0
81-30-56-1,4,27,0
81-30-56-1,4,14,0
81-30-56-1,4,82,0
81-30-56-1,4,46,0
56-81-30,3,1,1
18-19-24,3,61,0
18-19-24,3,28,0
18-19-24,3,92,0
18-19-24,3,6,0
18-19-24,3,71,0
18-19,2,24,1
2,1,97,0
2,1,47,0
2,1,25,0
2,1,60,0
2,1,48,0
10-11-0,3,71,0
10-11-0,3,68,0
10-11-0,3,83,0
10-11-0,3,1,0
10-11-0,3,59,0
0-10,2,11,1
80-15-84-44-52,5,32,0
80-15-84-44-52,5,14,0
80-15-84-44-52,5,82,0
80-15-84-44-52,5,9,0
80-15-84-44-52,5,94,0
80-44-52-84,4,15,1
50,1,8,0
50,1,26,0
50,1,56,0
50,1,87,0
50,1,22,0
10-82-33-89,4,37,0
10-82-33-89,4,53,0
10-82-33-89,4,40,0
10-82-33-89,4,14,0
10-82-33-89,4,72,0
33-10-82,3,89,1
11,1,44,0
11,1,61,0
11,1,26,0
11,1,97,0
11,1,86,0
47-23-22-11,4,89,0
47-23-22-11,4,48,0
47-23-22-11,4,41,0
47-23-22-11,4,63,0
47-23-22-11,4,34,0
11-47-23,3,22,1
11-25,2,48,0
11-25,2,35,0
11-25,2,66,0
11-25,2,72,0
11-25,2,71,0
11,1,25,1
79-95-98-80,4,89,0
79-95-98-80,4,63,0
79-95-98-80,4,49,0
79-95-98-80,4,42,0
79-95-98-80,4,64,0
80-98-95,3,79,1
92-23,2,30,0
92-23,2,27,0
92-23,2,21,0
92-23,2,0,0
92-23,2,82,0
23,1,92,1
21,1,92,0
21,1,28,0
21,1,31,0
21,1,80,0
21,1,30,0
94-41-86,3,62,0
94-41-86,3,71,0
94-41-86,3,75,0
94-41-86,3,50,0
94-41-86,3,81,0
41-94,2,86,1
11,1,86,0
11,1,17,0
11,1,53,0
11,1,34,0
11,1,16,0
63-0,2,70,0
63-0,2,71,0
63-0,2,28,0
63-0,2,46,0
63-0,2,97,0
0,1,63,1
98-29-46-21,4,64,0
98-29-46-21,4,24,0
98-29-46-21,4,59,0
98-29-46-21,4,87,0
98-29-46-21,4,5,0
98-29-46,3,21,1
21,1,27,0
21,1,95,0
21,1,93,0
21,1,9,0
21,1,56,0
30-0,2,66,0
30-0,2,46,0
30-0,2,81,0
30-0,2,61,0
30-0,2,92,0
0,1,30,1
26-71-56,3,73,0
26-71-56,3,48,0
26-71-56,3,95,0
26-71-56,3,38,0
26-71-56,3,63,0
56-26,2,71,1
56-3,2,17,0
56-3,2,87,0
56-3,2,5,0
56-3,2,66,0
56-3,2,52,0
56,1,3,1
3-22,2,39,0
3-22,2,91,0
3-22,2,40,0
3-22,2,34,0
3-22,2,25,0
3,1,22,1
22,1,99,0
22,1,61,0
22,1,64,0
22,1,88,0
22,1,54,0
21-11,2,64,0
21-11,2,66,0
21-11,2,57,0
21-11,2,3,0
21-11,2,7,0
11,1,21,1
99-11,2,37,0
99-11,2,75,0
99-11,2,57,0
99-11,2,81,0
99-11,2,20,0
11,1,99,1
11,1,75,0
11,1,94,0
11,1,40,0
11,1,92,0
11,1,48,0
62-78-0,3,39,0
62-78-0,3,31,0
62-78-0,3,73,0
62-78-0,3,53,0
62-78-0,3,98,0
0-62,2,78,1
63-21-0,3,23,0
63-21-0,3,94,0
63-21-0,3,99,0
63-21-0,3,43,0
63-21-0,3,47,0
21-63,2,0,1
87-2-11,3,98,0
87-2-11,3,59,0
87-2-11,3,94,0
87-2-11,3,61,0
87-2-11,3,24,0
2-87,2,11,1
60-97-44-80-93,5,35,0
60-97-44-80-93,5,66,0
60-97-44-80-93,5,51,0
60-97-44-80-93,5,99,0
60-97-44-80-93,5,0,0
80-44-93-60,4,97,1
98,1,50,0
98,1,78,0
98,1,0,0
98,1,39,0
98,1,30,0
1-2-22,3,64,0
1-2-22,3,19,0
1-2-22,3,34,0
1-2-22,3,26,0
1-2-22,3,77,0
1-22,2,2,1
76-68-95-79-32-84-47-10-80-63-52,11,42,0
76-68-95-79-32-84-47-10-80-63-52,11,2,0
76-68-95-79-32-84-47-10-80-63-52,11,96,0
76-68-95-79-32-84-47-10-80-63-52,11,8,0
76-68-95-79-32-84-47-10-80-63-52,11,26,0
32-68-10-76-79-80-84-52-63-95,10,47,1
31-32-0,3,52,0
31-32-0,3,28,0
31-32-0,3,16,0
31-32-0,3,50,0
31-32-0,3,75,0
0-31,2,32,1
99-22,2,9,0
99-22,2,81,0
99-22,2,44,0
99-22,2,7,0
99-22,2,73,0
22,1,99,1
76-0,2,89,0
76-0,2,53,0
76-0,2,29,0
76-0,2,98,0
76-0,2,60,0
0,1,76,1
48-24-54,3,70,0
48-24-54,3,80,0
48-24-54,3,45,0
48-24-54,3,89,0
48-24-54,3,57,0
48-24,2,54,1
41-54-27-48-86,5,11,0
41-54-27-48-86,5,9,0
41-54-27-48-86,5,92,0
41-54-27-48-86,5,16,0
41-54-27-48-86,5,98,0
48-86-27-54,4,41,1
52-11,2,16,0
52-11,2,33,0
52-11,2,87,0
52-11,2,80,0
52-11,2,96,0
11,1,52,1
65,1,29,0
65,1,99,0
65,1,46,0
65,1,86,0
65,1,10,0
11,1,43,0
11,1,65,0
11,1,29,0
11,1,88,0
11,1,42,0
53-11,2,61,0
53-11,2,74,0
53-11,2,46,0
53-11,2,29,0
53-11,2,95,0
53,1,11,1
55-30,2,33,0
55-30,2,6,0
55-30,2,14,0
55-30,2,10,0
55-30,2,49,0
55,1,30,1
70-35-26-11-0,5,96,0
70-35-26-11-0,5,31,0
70-35-26-11-0,5,82,0
70-35-26-11-0,5,85,0
70-35-26-11-0,5,71,0
0-11-26-35,4,70,1
26-46,2,67,0
26-46,2,17,0
26-46,2,31,0
26-46,2,55,0
26-46,2,50,0
46,1,26,1
28-89,2,51,0
28-89,2,7,0
28-89,2,73,0
28-89,2,57,0
28-89,2,70,0
28,1,89,1
67-95-7-11,4,52,0
67-95-7-11,4,87,0
67-95-7-11,4,57,0
67-95-7-11,4,4,0
67-95-7-11,4,27,0
67-11-95,3,7,1
0,1,57,0
0,1,68,0
0,1,71,0
0,1,2,0
0,1,79,0
26,1,8,0
26,1,73,0
26,1,47,0
26,1,2,0
26,1,9,0
11,1,95,0
11,1,73,0
11,1,49,0
11,1,27,0
11,1,71,0
69,1,62,0
69,1,25,0
69,1,30,0
69,1,68,0
69,1,83,0
11,1,69,0
11,1,40,0
11,1,3,0
11,1,96,0
11,1,7,0
79,1,56,0
79,1,59,0
79,1,61,0
79,1,27,0
79,1,78,0
30,1,4,0
30,1,43,0
30,1,93,0
30,1,57,0
30,1,69,0
19-48,2,83,0
19-48,2,88,0
19-48,2,75,0
19-48,2,23,0
19-48,2,93,0
48,1,19,1
2,1,65,0
2,1,67,0
2,1,78,0
2,1,76,0
2,1,16,0
45,1,88,0
45,1,26,0
45,1,32,0
45,1,78,0
45,1,85,0
72-38,2,87,0
72-38,2,28,0
72-38,2,14,0
72-38,2,50,0
72-38,2,59,0
72,1,38,1
28-11,2,77,0
28-11,2,79,0
