itemSet,setSize,target,conversion
40-15-20,3,41,0
40-20,2,15,1
98-84-65,3,70,0
98-84-65,3,37,0
98-84-65,3,23,0
98-84-65,3,63,0
98-84-65,3,41,0
65-98,2,84,1
97-10,2,34,0
97-10,2,56,0
97-10,2,60,0
97-10,2,86,0
97-10,2,13,0
10,1,97,1
19,1,68,0
19,1,70,0
19,1,43,0
19,1,72,0
19,1,42,0
14-15-27-20,4,96,0
14-15-27-20,4,6,0
14-15-27-20,4,39,0
14-15-27-20,4,62,0
14-15-27-20,4,77,0
27-20-14,3,15,1
9,1,41,0
9,1,16,0
9,1,20,0
9,1,3,0
9,1,84,0
49,1,65,0
49,1,24,0
49,1,26,0
49,1,29,0
49,1,91,0
13,1,18,0
13,1,15,0
13,1,31,0
13,1,89,0
13,1,3,0
7,1,69,0
7,1,22,0
7,1,75,0
7,1,11,0
7,1,87,0
59,1,82,0
59,1,48,0
59,1,20,0
59,1,57,0
59,1,79,0
14,1,52,0
14,1,64,0
14,1,77,0
14,1,96,0
14,1,40,0
20-15,2,45,0
20-15,2,43,0
20-15,2,86,0
20-15,2,82,0
20-15,2,19,0
20,1,15,1
13-14-15-80,4,47,0
13-14-15-80,4,64,0
13-14-15-80,4,53,0
13-14-15-80,4,12,0
13-14-15-80,4,86,0
80-13-14,3,15,1
65,1,90,0
65,1,17,0
65,1,0,0
65,1,80,0
65,1,98,0
77,1,14,0
77,1,58,0
77,1,66,0
77,1,72,0
77,1,57,0
2,1,6,0
2,1,63,0
2,1,74,0
2,1,15,0
2,1,38,0
23-29-17,3,6,0
23-29-17,3,50,0
23-29-17,3,84,0
23-29-17,3,11,0
23-29-17,3,72,0
17-29,2,23,1
50-73,2,20,0
50-73,2,13,0
50-73,2,53,0
50-73,2,82,0
50-73,2,64,0
73,1,50,1
47-40-13-14-2,5,76,0
47-40-13-14-2,5,30,0
47-40-13-14-2,5,26,0
47-40-13-14-2,5,97,0
47-40-13-14-2,5,50,0
40-2-13-14,4,47,1
0-14,2,48,0
0-14,2,92,0
0-14,2,90,0
0-14,2,57,0
0-14,2,64,0
14,1,0,1
79-33-89-68-41-65,6,32,0
79-33-89-68-41-65,6,57,0
79-33-89-68-41-65,6,42,0
79-33-89-68-41-65,6,29,0
79-33-89-68-41-65,6,48,0
65-33-68-79-89,5,41,1
79,1,74,0
79,1,96,0
79,1,34,0
79,1,66,0
79,1,4,0
20,1,65,0
20,1,93,0
20,1,35,0
20,1,16,0
20,1,91,0
2-14,2,5,0
2-14,2,36,0
2-14,2,77,0
2-14,2,7,0
2-14,2,52,0
2,1,14,1
11-59,2,20,0
11-59,2,0,0
11-59,2,30,0
11-59,2,52,0
11-59,2,94,0
11,1,59,1
10-49,2,80,0
10-49,2,45,0
10-49,2,15,0
10-49,2,79,0
10-49,2,54,0
10,1,49,1
12-16,2,90,0
12-16,2,84,0
12-16,2,8,0
12-16,2,57,0
12-16,2,71,0
12,1,16,1
27,1,22,0
27,1,47,0
27,1,59,0
27,1,92,0
27,1,99,0
69-71-76,3,73,0
69-71-76,3,5,0
69-71-76,3,28,0
69-71-76,3,90,0
69-71-76,3,14,0
69-71,2,76,1
15-7-20,3,82,0
15-7-20,3,97,0
15-7-20,3,25,0
15-7-20,3,14,0
15-7-20,3,57,0
20-15,2,7,1
4,1,70,0
4,1,57,0
4,1,92,0
4,1,56,0
4,1,7,0
0-14-80,3,19,0
0-14-80,3,73,0
0-14-80,3,57,0
0-14-80,3,17,0
0-14-80,3,3,0
80-14,2,0,1
38-85-84-10-5-30-2,7,65,0
38-85-84-10-5-30-2,7,25,0
38-85-84-10-5-30-2,7,14,0
38-85-84-10-5-30-2,7,75,0
38-85-84-10-5-30-2,7,11,0
2-5-38-10-84-30,6,85,1
29-3,2,18,0
29-3,2,84,0
29-3,2,65,0
29-3,2,62,0
29-3,2,86,0
3,1,29,1
86-20,2,55,0
86-20,2,22,0
86-20,2,47,0
86-20,2,63,0
86-20,2,81,0
20,1,86,1
2-7-31,3,81,0
2-7-31,3,25,0
2-7-31,3,71,0
2-7-31,3,64,0
2-7-31,3,93,0
2-31,2,7,1
42-10-70-9-7-5,6,51,0
42-10-70-9-7-5,6,28,0
42-10-70-9-7-5,6,37,0
42-10-70-9-7-5,6,18,0
42-10-70-9-7-5,6,98,0
5-70-7-9-42,5,10,1
12-43,2,34,0
12-43,2,98,0
12-43,2,48,0
12-43,2,54,0
12-43,2,97,0
12,1,43,1
62,1,38,0
62,1,22,0
62,1,96,0
62,1,61,0
62,1,98,0
37-14-27-80,4,62,0
37-14-27-80,4,40,0
37-14-27-80,4,73,0
37-14-27-80,4,6,0
37-14-27-80,4,71,0
80-27-14,3,37,1
52-15-20,3,24,0
52-15-20,3,87,0
52-15-20,3,58,0
52-15-20,3,1,0
52-15-20,3,80,0
20-15,2,52,1
53-12-23-97-43,5,0,0
53-12-23-97-43,5,27,0
53-12-23-97-43,5,68,0
53-12-23-97-43,5,35,0
53-12-23-97-43,5,26,0
97-12-53-23,4,43,1
32,1,9,0
32,1,77,0
32,1,12,0
32,1,53,0
32,1,35,0
47-97-82-10,4,85,0
47-97-82-10,4,31,0
47-97-82-10,4,79,0
47-97-82-10,4,61,0
47-97-82-10,4,42,0
97-10-47,3,82,1
1-19-20-15,4,25,0
1-19-20-15,4,31,0
1-19-20-15,4,2,0
1-19-20-15,4,81,0
1-19-20-15,4,52,0
1-20-15,3,19,1
4,1,45,0
4,1,21,0
4,1,9,0
4,1,64,0
4,1,2,0
44-84,2,20,0
44-84,2,32,0
44-84,2,89,0
44-84,2,88,0
44-84,2,61,0
84,1,44,1
51-52-17,3,15,0
51-52-17,3,83,0
51-52-17,3,61,0
51-52-17,3,19,0
51-52-17,3,57,0
51-52,2,17,1
77-52,2,68,0
77-52,2,29,0
77-52,2,53,0
77-52,2,2,0
77-52,2,31,0
77,1,52,1
2,1,43,0
2,1,90,0
2,1,33,0
2,1,20,0
2,1,23,0
37-0-14,3,32,0
37-0-14,3,79,0
37-0-14,3,50,0
37-0-14,3,95,0
37-0-14,3,71,0
0-37,2,14,1
93,1,20,0
93,1,61,0
93,1,25,0
93,1,46,0
93,1,15,0
26-85-89-75,4,41,0
26-85-89-75,4,9,0
26-85-89-75,4,76,0
26-85-89-75,4,38,0
26-85-89-75,4,12,0
26-75-85,3,89,1
48-16-7,3,51,0
48-16-7,3,37,0
48-16-7,3,20,0
48-16-7,3,68,0
48-16-7,3,9,0
48-16,2,7,1
73-20,2,24,0
73-20,2,96,0
73-20,2,59,0
73-20,2,51,0
73-20,2,55,0
73,1,20,1
32-45-3-29-75,5,87,0
32-45-3-29-75,5,97,0
32-45-3-29-75,5,89,0
32-45-3-29-75,5,47,0
32-45-3-29-75,5,53,0
32-75-3-29,4,45,1
84-72,2,43,0
84-72,2,9,0
84-72,2,27,0
84-72,2,57,0
84-72,2,34,0
84,1,72,1
51-62-48,3,76,0
51-62-48,3,84,0
51-62-48,3,30,0
51-62-48,3,56,0
51-62-48,3,94,0
48-62,2,51,1
10-3,2,4,0
10-3,2,44,0
10-3,2,75,0
10-3,2,2,0
10-3,2,45,0
3,1,10,1
31-41-59-9-23,5,10,0
31-41-59-9-23,5,78,0
31-41-59-9-23,5,65,0
31-41-59-9-23,5,15,0
31-41-59-9-23,5,60,0
41-31-9-23,4,59,1
5,1,75,0
5,1,96,0
5,1,65,0
5,1,10,0
5,1,58,0
48-98-35,3,65,0
48-98-35,3,89,0
48-98-35,3,60,0
48-98-35,3,44,0
48-98-35,3,16,0
48-35,2,98,1
84,1,72,0
84,1,62,0
84,1,3,0
84,1,87,0
84,1,20,0
67-20,2,4,0
67-20,2,13,0
67-20,2,98,0
67-20,2,80,0
67-20,2,66,0
20,1,67,1
47-59-7,3,66,0
47-59-7,3,96,0
47-59-7,3,12,0
47-59-7,3,17,0
47-59-7,3,89,0
59-7,2,47,1
2-12-97-23-55,5,66,0
2-12-97-23-55,5,16,0
2-12-97-23-55,5,56,0
2-12-97-23-55,5,96,0
2-12-97-23-55,5,40,0
97-2-12-55,4,23,1
59-11-15,3,4,0
59-11-15,3,39,0
59-11-15,3,7,0
59-11-15,3,43,0
59-11-15,3,5,0
59-15,2,11,1
20-37-14,3,53,0
20-37-14,3,38,0
20-37-14,3,75,0
20-37-14,3,72,0
20-37-14,3,59,0
20-14,2,37,1
24-21,2,51,0
24-21,2,42,0
24-21,2,32,0
24-21,2,40,0
24-21,2,26,0
24,1,21,1
48,1,82,0
48,1,6,0
48,1,94,0
48,1,89,0
48,1,93,0
53-13-80,3,57,0
53-13-80,3,72,0
53-13-80,3,42,0
53-13-80,3,49,0
53-13-80,3,64,0
80-13,2,53,1
38,1,14,0
38,1,11,0
38,1,52,0
38,1,61,0
38,1,25,0
76,1,13,0
76,1,38,0
76,1,20,0
76,1,96,0
76,1,30,0
52-55-15-20,4,58,0
52-55-15-20,4,31,0
52-55-15-20,4,43,0
52-55-15-20,4,22,0
52-55-15-20,4,71,0
52-55-15,3,20,1
45-44-32-23-41-33-42,7,16,0
45-44-32-23-41-33-42,7,74,0
45-44-32-23-41-33-42,7,7,0
45-44-32-23-41-33-42,7,28,0
45-44-32-23-41-33-42,7,4,0
32-33-41-44-45-23,6,42,1
57-14,2,63,0
57-14,2,36,0
57-14,2,0,0
57-14,2,8,0
57-14,2,5,0
14,1,57,1
15,1,92,0
15,1,64,0
15,1,73,0
15,1,76,0
15,1,91,0
24-11-97-59-42,5,66,0
24-11-97-59-42,5,28,0
24-11-97-59-42,5,69,0
24-11-97-59-42,5,31,0
24-11-97-59-42,5,50,0
24-97-42-11,4,59,1
12-44-23-71-2-64,6,9,0
12-44-23-71-2-64,6,49,0
12-44-23-71-2-64,6,19,0
12-44-23-71-2-64,6,90,0
12-44-23-71-2-64,6,40,0
64-2-71-12-44,5,23,1
66,1,5,0
66,1,28,0
66,1,38,0
66,1,44,0
66,1,45,0
57-30-46-43-83-36,6,77,0
57-30-46-43-83-36,6,4,0
57-30-46-43-83-36,6,42,0
57-30-46-43-83-36,6,12,0
57-30-46-43-83-36,6,90,0
36-43-46-57-30,5,83,1
15,1,96,0
15,1,79,0
15,1,20,0
15,1,82,0
15,1,25,0
19-69,2,96,0
19-69,2,34,0
19-69,2,51,0
19-69,2,16,0
19-69,2,58,0
19,1,69,1
73-67,2,19,0
73-67,2,51,0
73-67,2,39,0
73-67,2,0,0
73-67,2,84,0
67,1,73,1
12,1,87,0
12,1,81,0
12,1,33,0
12,1,92,0
12,1,29,0
7,1,37,0
7,1,31,0
7,1,77,0
7,1,20,0
7,1,24,0
11,1,17,0
11,1,85,0
11,1,79,0
11,1,57,0
11,1,24,0
7-20-2,3,86,0
7-20-2,3,71,0
7-20-2,3,42,0
7-20-2,3,62,0
7-20-2,3,99,0
2-7,2,20,1
29-69,2,46,0
29-69,2,32,0
29-69,2,0,0
29-69,2,51,0
29-69,2,3,0
29,1,69,1
39-38-62,3,34,0
39-38-62,3,2,0
39-38-62,3,13,0
39-38-62,3,73,0
39-38-62,3,36,0
38-62,2,39,1
62-7-20,3,81,0
62-7-20,3,25,0
62-7-20,3,32,0
62-7-20,3,53,0
62-7-20,3,51,0
20-62,2,7,1
19-2-7,3,47,0
19-2-7,3,96,0
19-2-7,3,92,0
19-2-7,3,24,0
19-2-7,3,61,0
2-19,2,7,1
93-15-80,3,79,0
93-15-80,3,4,0
93-15-80,3,74,0
93-15-80,3,45,0
93-15-80,3,81,0
80-15,2,93,1
13,1,26,0
13,1,40,0
13,1,8,0
13,1,18,0
13,1,6,0
20,1,17,0
20,1,55,0
20,1,97,0
20,1,96,0
20,1,3,0
41-48-33-12,4,50,0
41-48-33-12,4,47,0
41-48-33-12,4,61,0
41-48-33-12,4,29,0
41-48-33-12,4,84,0
48-41-12,3,33,1
70,1,84,0
70,1,9,0
70,1,78,0
70,1,24,0
70,1,12,0
70,1,57,0
70,1,40,0
70,1,98,0
70,1,67,0
70,1,20,0
98-44,2,57,0
98-44,2,43,0
98-44,2,63,0
98-44,2,61,0
98-44,2,60,0
44,1,98,1
52-77,2,59,0
52-77,2,56,0
52-77,2,53,0
52-77,2,87,0
52-77,2,11,0
52,1,77,1
23,1,51,0
23,1,26,0
23,1,25,0
23,1,96,0
23,1,75,0
35-27-15,3,53,0
35-27-15,3,96,0
35-27-15,3,60,0
35-27-15,3,47,0
35-27-15,3,44,0
27-15,2,35,1
8-85-93,3,68,0
8-85-93,3,24,0
8-85-93,3,58,0
8-85-93,3,98,0
8-85-93,3,79,0
8-85,2,93,1
32,1,68,0
32,1,70,0
32,1,8,0
32,1,12,0
32,1,51,0
10,1,68,0
10,1,31,0
10,1,21,0
10,1,95,0
10,1,67,0
91-36,2,81,0
91-36,2,21,0
91-36,2,51,0
91-36,2,98,0
91-36,2,99,0
91,1,36,1
31-69-76,3,12,0
31-69-76,3,96,0
31-69-76,3,23,0
31-69-76,3,57,0
31-69-76,3,78,0
69-31,2,76,1
95-25,2,51,0
95-25,2,97,0
95-25,2,0,0
95-25,2,12,0
95-25,2,77,0
25,1,95,1
22-62,2,47,0
22-62,2,8,0
22-62,2,4,0
22-62,2,72,0
22-62,2,74,0
62,1,22,1
74-7-51,3,54,0
74-7-51,3,35,0
74-7-51,3,6,0
74-7-51,3,21,0
74-7-51,3,67,0
51-7,2,74,1
42-71-41-67,4,65,0
42-71-41-67,4,43,0
42-71-41-67,4,9,0
42-71-41-67,4,74,0
42-71-41-67,4,72,0
41-42-71,3,67,1
59-23-69,3,80,0
59-23-69,3,53,0
59-23-69,3,38,0
59-23-69,3,10,0
59-23-69,3,34,0
59-23,2,69,1
89,1,50,0
89,1,64,0
89,1,12,0
89,1,85,0
89,1,91,0
90-40-73,3,50,0
90-40-73,3,55,0
90-40-73,3,88,0
90-40-73,3,25,0
90-40-73,3,54,0
40-73,2,90,1
20-67,2,52,0
20-67,2,83,0
