itemSet,target,conversion,setSize
[40],92,1.0,1
[96],6,1.0,1
[52],10,1.0,1
[65],23,1.0,1
"[59, 48]",21,1.0,2
"[0, 27, 15, 80, 2]",14,1.0,5
"[98, 31, 61, 44]",89,1.0,4
"[83, 36]",20,1.0,2
[12],48,1.0,1
"[72, 86]",7,1.0,2
"[19, 49, 99, 9, 15]",27,1.0,5
[40],57,1.0,1
"[8, 15]",19,1.0,2
[42],26,1.0,1
[5],54,1.0,1
"[41, 7, 2, 33, 58, 20, 84]",15,1.0,7
[78],76,1.0,1
"[23, 67, 15]",20,1.0,3
"[7, 43]",2,1.0,2
[15],7,1.0,1
"[69, 97]",4,1.0,2
"[82, 7, 54]",73,1.0,3
[17],11,1.0,1
"[31, 69]",78,1.0,2
[63],15,1.0,1
"[86, 15]",20,1.0,2
[37],2,1.0,1
"[9, 43]",49,1.0,2
[86],82,1.0,1
"[7, 58, 20]",15,1.0,3
[2],88,1.0,1
[95],23,1.0,1
[62],67,1.0,1
[44],41,1.0,1
[46],43,1.0,1
"[71, 6]",32,1.0,2
"[62, 67]",68,1.0,2
"[2, 47, 73, 6]",39,1.0,4
"[46, 7]",9,1.0,2
[0],2,1.0,1
"[32, 29]",48,1.0,2
"[90, 73, 10]",70,1.0,3
"[57, 16, 15]",20,1.0,3
[20],90,1.0,1
[20],15,1.0,1
[11],47,1.0,1
"[24, 2, 9, 70, 10]",58,1.0,5
"[88, 98]",53,1.0,2
[28],37,1.0,1
"[94, 28]",9,1.0,2
[20],39,1.0,1
"[40, 3, 92, 90]",73,1.0,4
[52],93,1.0,1
"[21, 37]",14,1.0,2
[61],74,1.0,1
[67],28,1.0,1
[32],71,1.0,1
"[4, 15, 99, 27, 20]",5,1.0,5
[42],61,1.0,1
[51],21,1.0,1
"[5, 2, 43, 90, 73, 50, 62]",30,1.0,7
[15],20,1.0,1
"[7, 48]",5,1.0,2
"[2, 82, 77, 38]",86,1.0,4
[92],93,1.0,1
"[37, 0, 7, 18]",62,1.0,4
"[89, 97]",67,1.0,2
"[4, 91]",14,1.0,2
[32],69,1.0,1
[19],20,1.0,1
"[24, 96, 94]",11,1.0,3
"[70, 9]",52,1.0,2
[9],50,1.0,1
[33],95,1.0,1
[87],49,1.0,1
"[1, 19, 91]",39,1.0,3
"[20, 2, 27]",15,1.0,3
[84],40,1.0,1
[81],33,1.0,1
"[73, 6]",71,1.0,2
[9],67,1.0,1
"[23, 15, 20]",78,1.0,3
[12],20,1.0,1
"[22, 4]",52,1.0,2
"[76, 23, 32]",73,1.0,3
"[54, 58, 7, 15, 30, 20]",82,1.0,6
"[53, 36]",91,1.0,2
[9],43,1.0,1
[97],89,1.0,1
"[40, 7, 14]",6,1.0,3
[3],73,1.0,1
[10],19,1.0,1
[32],69,1.0,1
"[52, 7, 15, 20, 74]",82,1.0,5
"[19, 52, 7]",54,1.0,3
"[85, 70, 40]",10,1.0,3
"[28, 10, 2, 99, 40]",27,1.0,5
"[81, 29]",58,1.0,2
"[38, 73]",15,1.0,2
[61],69,1.0,1
[23],40,1.0,1
"[6, 34, 17]",44,1.0,3
[43],50,1.0,1
"[15, 2]",73,1.0,2
"[24, 64]",44,1.0,2
[23],9,1.0,1
[81],76,1.0,1
"[60, 61]",44,1.0,2
"[14, 13, 20]",1,1.0,3
[16],9,1.0,1
"[93, 40, 5, 90, 0, 2, 14, 99, 27]",9,1.0,9
[2],20,1.0,1
[0],15,1.0,1
"[52, 7, 2]",58,1.0,3
[2],14,1.0,1
"[51, 54, 40]",7,1.0,3
"[87, 17, 7, 58]",54,1.0,4
"[65, 68, 71, 42, 95]",62,1.0,5
"[26, 74, 72, 65]",29,1.0,4
"[32, 23, 81]",45,1.0,3
[24],62,1.0,1
"[7, 14]",20,1.0,2
[93],59,1.0,1
"[14, 2, 10]",27,1.0,3
[53],12,1.0,1
[70],10,1.0,1
[43],65,1.0,1
[38],15,1.0,1
"[99, 38, 21, 2]",27,1.0,4
[11],92,1.0,1
"[96, 75]",89,1.0,2
[9],91,1.0,1
[62],52,1.0,1
[79],58,1.0,1
"[15, 49, 20]",54,1.0,3
[87],2,1.0,1
"[69, 1]",10,1.0,2
"[77, 7]",9,1.0,2
"[19, 20]",51,1.0,2
"[6, 68]",65,1.0,2
[15],20,1.0,1
"[73, 34]",69,1.0,2
"[15, 52, 49]",20,1.0,3
"[69, 78]",61,1.0,2
[7],80,1.0,1
[49],55,1.0,1
"[56, 66]",64,1.0,2
[25],75,1.0,1
[39],27,1.0,1
"[20, 15]",52,1.0,2
"[8, 88]",10,1.0,2
"[89, 54, 19]",62,1.0,3
"[19, 27, 15, 20]",99,1.0,4
"[29, 26, 25]",71,1.0,3
[28],64,1.0,1
"[83, 15]",36,1.0,2
"[27, 62]",99,1.0,2
[90],73,1.0,1
[29],78,1.0,1
[27],99,1.0,1
"[21, 2]",22,1.0,2
[20],19,1.0,1
[4],40,1.0,1
"[20, 27, 15, 2, 86, 49, 7]",58,1.0,7
"[47, 59]",12,1.0,2
"[15, 9]",80,1.0,2
[21],15,1.0,1
"[70, 6, 10]",58,1.0,3
"[2, 9, 19, 20, 37]",15,1.0,5
"[84, 12, 88]",70,1.0,3
"[12, 9, 99, 27, 15, 69]",53,1.0,6
[9],62,1.0,1
"[46, 43]",94,1.0,2
[30],9,1.0,1
[15],20,1.0,1
"[90, 39, 14, 15, 99, 27]",37,1.0,6
"[87, 86, 82, 3, 2]",7,1.0,5
[96],16,1.0,1
"[87, 2, 7, 22, 20]",4,1.0,5
[24],4,1.0,1
[19],1,1.0,1
"[9, 50]",43,1.0,2
[0],37,1.0,1
"[98, 75]",24,1.0,2
[1],50,1.0,1
"[7, 15, 21, 20]",58,1.0,4
[65],95,1.0,1
"[60, 69, 76]",25,1.0,3
"[94, 9]",24,1.0,2
"[21, 56, 15, 20]",53,1.0,4
"[8, 19, 20, 15]",21,1.0,4
"[24, 22, 7, 49, 2, 94]",87,1.0,6
[52],48,1.0,1
[59],65,1.0,1
"[5, 20]",51,1.0,2
[1],55,1.0,1
[15],20,1.0,1
"[15, 94]",20,1.0,2
"[83, 21]",36,1.0,2
"[61, 59]",53,1.0,2
[35],98,1.0,1
[67],21,1.0,1
"[51, 55, 62, 67]",54,1.0,4
[10],70,1.0,1
"[93, 92, 1, 85, 21]",24,1.0,5
"[73, 15]",52,1.0,2
"[90, 40, 93]",28,1.0,3
[15],92,1.0,1
"[30, 38, 84, 67, 22, 40]",2,1.0,6
"[25, 71, 68, 69, 23]",21,1.0,5
"[47, 19, 14, 91, 88, 2, 18]",53,1.0,7
[88],19,1.0,1
"[47, 37, 77, 54, 7, 2, 20]",9,1.0,7
[95],89,1.0,1
"[56, 22]",17,1.0,2
"[15, 92, 56]",20,1.0,3
"[85, 12]",20,1.0,2
[43],9,1.0,1
"[2, 30, 14]",88,1.0,3
"[0, 39, 87, 12, 67, 20]",41,1.0,6
[20],52,1.0,1
"[53, 29, 5, 17, 25]",89,1.0,5
"[96, 43, 30]",46,1.0,3
"[65, 10, 11]",79,1.0,3
"[69, 82, 2, 7]",62,1.0,4
[89],65,1.0,1
[35],56,1.0,1
"[21, 13]",20,1.0,2
"[80, 0, 2, 17, 14]",15,1.0,5
[1],19,1.0,1
"[12, 94]",4,1.0,2
"[7, 36]",52,1.0,2
"[94, 36, 7, 52]",83,1.0,4
[79],41,1.0,1
"[96, 92, 85]",78,1.0,3
[67],62,1.0,1
[10],17,1.0,1
"[2, 27]",62,1.0,2
"[99, 15, 20, 16]",0,1.0,4
"[43, 62]",16,1.0,2
[28],60,1.0,1
[10],70,1.0,1
"[53, 9, 26, 25, 79, 41]",70,1.0,6
[19],20,1.0,1
"[46, 43, 9]",14,1.0,3
[4],47,1.0,1
[43],9,1.0,1
"[10, 85]",52,1.0,2
"[47, 38, 72]",21,1.0,3
[61],65,1.0,1
"[4, 10, 17]",22,1.0,3
[97],17,1.0,1
"[36, 9]",47,1.0,2
[8],58,1.0,1
[30],15,1.0,1
[72],79,1.0,1
"[27, 49, 15]",7,1.0,3
[67],15,1.0,1
"[56, 19]",1,1.0,2
"[97, 16]",52,1.0,2
[15],27,1.0,1
"[63, 48, 32]",69,1.0,3
"[42, 41]",84,1.0,2
"[45, 65]",23,1.0,2
"[20, 30, 2]",7,1.0,3
"[2, 88]",49,1.0,2
"[58, 91, 7]",2,1.0,3
"[38, 46]",7,1.0,2
[20],14,1.0,1
[64],81,1.0,1
"[9, 10, 27, 15, 83, 36]",70,1.0,6
[73],40,1.0,1
"[15, 20, 7]",27,1.0,3
"[65, 67, 10]",2,1.0,3
"[1, 7]",2,1.0,2
[88],67,1.0,1
[77],7,1.0,1
"[90, 2]",39,1.0,2
[30],70,1.0,1
"[50, 73, 55, 2, 7]",18,1.0,5
"[20, 15]",7,1.0,2
[21],63,1.0,1
[83],36,1.0,1
"[2, 14, 13, 41, 83]",10,1.0,5
"[53, 15, 86, 82, 7]",49,1.0,5
[63],47,1.0,1
"[77, 56]",30,1.0,2
"[53, 7]",17,1.0,2
"[52, 99, 15, 27, 7]",44,1.0,5
"[15, 16, 7]",4,1.0,3
[15],20,1.0,1
"[98, 23, 31, 69, 76, 64, 32, 42]",60,1.0,8
"[47, 53, 17, 2]",14,1.0,4
[20],15,1.0,1
"[7, 82]",53,1.0,2
"[77, 15]",7,1.0,2
[58],7,1.0,1
[19],46,1.0,1
"[47, 97]",71,1.0,2
"[19, 37]",14,1.0,2
"[2, 0]",15,1.0,2
"[34, 44]",67,1.0,2
"[67, 19, 18]",8,1.0,3
"[46, 5, 52, 9]",49,1.0,4
[34],73,1.0,1
[20],15,1.0,1
[20],15,1.0,1
[21],20,1.0,1
[49],4,1.0,1
[14],7,1.0,1
[2],0,1.0,1
"[92, 47]",72,1.0,2
"[65, 69, 76]",81,1.0,3
"[24, 30, 40, 2, 0]",14,1.0,5
"[13, 14, 83, 9, 18]",50,1.0,5
[11],62,1.0,1
"[54, 49, 20]",43,1.0,3
[15],20,1.0,1
"[15, 7]",2,1.0,2
[7],53,1.0,1
"[52, 88, 16]",26,1.0,3
"[85, 41, 69]",53,1.0,3
[40],90,1.0,1
"[15, 17]",81,1.0,2
[74],2,1.0,1
"[32, 23]",11,1.0,2
[70],10,1.0,1
"[91, 20]",7,1.0,2
[52],77,1.0,1
"[70, 5, 14, 2, 10]",13,1.0,5
[50],43,1.0,1
[23],88,1.0,1
"[15, 5, 7, 72, 83, 9, 43]",46,1.0,7
[52],77,1.0,1
"[2, 30]",14,1.0,2
[20],15,1.0,1
[7],20,1.0,1
[76],69,1.0,1
[26],48,1.0,1
[94],66,1.0,1
[4],11,1.0,1
[82],7,1.0,1
[75],24,1.0,1
[38],85,1.0,1
[14],90,1.0,1
[64],29,1.0,1
[69],44,1.0,1
[15],20,1.0,1
"[24, 23, 60, 31, 29, 81, 78]",45,1.0,7
[27],39,1.0,1
"[76, 71]",73,1.0,2
"[83, 9]",20,1.0,2
[43],46,1.0,1
"[55, 7]",49,1.0,2
"[27, 62]",15,1.0,2
[61],64,1.0,1
[9],46,1.0,1
[73],3,1.0,1
"[70, 27]",2,1.0,2
[15],57,1.0,1
"[15, 20, 22]",38,1.0,3
"[79, 89, 60]",12,1.0,3
"[24, 44, 33, 26]",42,1.0,4
"[74, 76]",32,1.0,2
"[53, 12]",44,1.0,2
"[7, 65]",63,1.0,2
"[21, 20]",15,1.0,2
"[73, 61]",24,1.0,2
[70],7,1.0,1
[53],7,1.0,1
"[48, 89, 33, 88]",11,1.0,4
"[23, 60]",65,1.0,2
"[57, 53, 52]",20,1.0,3
"[20, 30]",19,1.0,2
"[24, 63, 85]",15,1.0,3
"[2, 23]",54,1.0,2
"[99, 27, 15]",20,1.0,3
"[93, 29]",84,1.0,2
"[89, 44, 32]",45,1.0,3
[20],15,1.0,1
[22],24,1.0,1
"[27, 30]",20,1.0,2
[23],42,1.0,1
[4],15,1.0,1
"[70, 83]",10,1.0,2
"[46, 36, 35, 38, 43]",83,1.0,5
"[20, 99, 27]",15,1.0,3
[75],24,1.0,1
"[23, 71]",44,1.0,2
[47],49,1.0,1
"[56, 17]",7,1.0,2
"[83, 36, 43, 46, 94]",9,1.0,5
"[59, 97, 40, 76, 69]",53,1.0,5
[25],65,1.0,1
"[37, 15]",2,1.0,2
[30],2,1.0,1
[73],20,1.0,1
[19],15,1.0,1
[10],93,1.0,1
[15],19,1.0,1
[24],85,1.0,1
"[5, 77, 7, 18]",50,1.0,4
"[82, 7, 62, 54, 9, 36]",53,1.0,6
"[10, 70, 41]",2,1.0,3
[23],31,1.0,1
"[21, 9, 10, 70]",4,1.0,4
[51],7,1.0,1
[19],8,1.0,1
[95],11,1.0,1
[15],2,1.0,1
[7],22,1.0,1
[73],40,1.0,1
"[26, 25, 75]",23,1.0,3
"[26, 99]",27,1.0,2
[11],25,1.0,1
"[98, 65]",25,1.0,2
[79],95,1.0,1
[66],71,1.0,1
[10],15,1.0,1
"[89, 31, 98, 81, 42]",69,1.0,5
"[74, 15, 20, 1]",7,1.0,4
[65],15,1.0,1
"[32, 9]",67,1.0,2
"[5, 21, 63]",97,1.0,3
[73],46,1.0,1
"[70, 37, 0]",86,1.0,3
"[11, 65, 69, 60, 76]",24,1.0,5
"[17, 20, 15, 27]",6,1.0,4
"[41, 94]",29,1.0,2
"[22, 2]",37,1.0,2
"[69, 5, 76]",41,1.0,3
"[17, 15, 20]",67,1.0,3
[27],51,1.0,1
[52],49,1.0,1
"[53, 2, 73, 12]",20,1.0,4
"[52, 7, 20]",15,1.0,3
"[73, 15]",27,1.0,2
[96],16,1.0,1
[18],50,1.0,1
[41],26,1.0,1
"[77, 51]",25,1.0,2
"[2, 19]",16,1.0,2
"[16, 13]",14,1.0,2
[24],94,1.0,1
[2],20,1.0,1
[52],38,1.0,1
[52],49,1.0,1
"[2, 49, 20]",7,1.0,3
"[30, 23]",53,1.0,2
[6],99,1.0,1
[65],59,1.0,1
[4],6,1.0,1
"[89, 25, 44]",71,1.0,3
[67],48,1.0,1
"[37, 0]",2,1.0,2
"[65, 83, 51, 7, 99]",15,1.0,5
"[57, 50, 51, 7]",54,1.0,4
[85],97,1.0,1
"[40, 76, 69, 43]",23,1.0,4
"[73, 56, 28, 27]",3,1.0,4
"[19, 20, 15]",1,1.0,3
"[99, 27, 80]",15,1.0,3
"[88, 17, 15, 92]",20,1.0,4
[54],58,1.0,1
"[14, 65, 7, 93, 73, 67]",10,1.0,6
"[5, 35, 15, 20]",87,1.0,4
"[97, 34]",59,1.0,2
"[32, 68]",23,1.0,2
"[36, 96]",63,1.0,2
"[20, 77]",15,1.0,2
[70],17,1.0,1
"[52, 7, 56]",4,1.0,3
"[40, 92]",2,1.0,2
[52],77,1.0,1
"[47, 94, 63, 22, 15]",6,1.0,5
"[83, 9]",63,1.0,2
"[2, 56, 50, 9]",18,1.0,4
[3],66,1.0,1
"[13, 30, 9, 15]",37,1.0,4
[2],49,1.0,1
"[48, 20]",18,1.0,2
[19],9,1.0,1
[28],24,1.0,1
"[63, 17, 12, 87, 21, 15, 54, 9, 27, 22, 7]",99,1.0,11
"[15, 6]",11,1.0,2
[89],41,1.0,1
"[27, 74]",99,1.0,2
"[2, 37]",14,1.0,2
"[44, 61, 45, 23, 69, 76]",32,1.0,6
"[7, 86, 9]",48,1.0,3
"[46, 73, 43]",21,1.0,3
"[24, 84, 61]",96,1.0,3
"[86, 2, 20]",15,1.0,3
[44],67,1.0,1
"[28, 51, 2]",40,1.0,3
"[15, 20, 30]",7,1.0,3
"[57, 1]",85,1.0,2
"[7, 43]",46,1.0,2
[15],20,1.0,1
"[41, 25, 78, 81]",26,1.0,4
"[64, 69]",48,1.0,2
[26],54,1.0,1
"[54, 7, 87, 20, 15]",49,1.0,5
"[20, 21, 63]",52,1.0,3
[49],15,1.0,1
[43],46,1.0,1
[43],46,1.0,1
"[73, 28]",24,1.0,2
"[92, 15]",80,1.0,2
"[49, 50]",2,1.0,2
"[7, 94, 46, 43, 52, 9]",22,1.0,6
[88],85,1.0,1
"[22, 51]",15,1.0,2
[91],9,1.0,1
"[8, 58, 77, 51, 91, 83]",36,1.0,6
[43],46,1.0,1
[59],11,1.0,1
[14],15,1.0,1
[30],52,1.0,1
[24],21,1.0,1
[7],2,1.0,1
[48],7,1.0,1
[50],43,1.0,1
"[21, 77, 7, 36, 83, 46, 43]",52,1.0,7
"[50, 91]",18,1.0,2
"[65, 44, 69, 76]",23,1.0,4
"[39, 2]",14,1.0,2
[20],15,1.0,1
"[24, 98, 96]",21,1.0,3
[14],13,1.0,1
[16],64,1.0,1
"[94, 40, 15, 30]",63,1.0,4
[19],88,1.0,1
"[37, 14, 80, 2]",39,1.0,4
"[50, 59, 11]",43,1.0,3
"[95, 33, 98]",24,1.0,3
"[44, 91, 92]",24,1.0,3
[1],19,1.0,1
[32],65,1.0,1
[13],37,1.0,1
"[2, 14, 80]",15,1.0,3
[85],52,1.0,1
[65],85,1.0,1
[20],15,1.0,1
[20],15,1.0,1
"[47, 15, 54, 86, 35, 27, 99, 20]",7,1.0,8
[43],25,1.0,1
[9],48,1.0,1
"[82, 7]",86,1.0,2
[61],69,1.0,1
"[41, 25, 2, 10, 21]",74,1.0,5
"[45, 81]",89,1.0,2
"[58, 17]",12,1.0,2
"[27, 4, 20]",49,1.0,3
"[25, 36]",83,1.0,2
"[48, 19]",7,1.0,2
"[89, 60]",76,1.0,2
"[98, 44, 96, 66]",68,1.0,4
"[73, 3]",71,1.0,2
"[98, 85]",10,1.0,2
"[73, 93]",53,1.0,2
"[54, 20]",7,1.0,2
"[43, 34, 79]",44,1.0,3
"[27, 52]",51,1.0,2
"[44, 61]",71,1.0,2
"[28, 14, 2, 0]",15,1.0,4
[26],75,1.0,1
[62],52,1.0,1
"[98, 44]",71,1.0,2
[2],14,1.0,1
[10],40,1.0,1
"[46, 83]",20,1.0,2
"[57, 22, 73, 94, 2, 20]",67,1.0,6
"[19, 9]",48,1.0,2
"[54, 99, 27, 15]",2,1.0,4
"[59, 65]",11,1.0,2
"[24, 50]",25,1.0,2
"[20, 36]",15,1.0,2
[15],20,1.0,1
[9],48,1.0,1
[92],20,1.0,1
"[57, 7, 49, 23, 48]",54,1.0,5
"[89, 46, 73, 43, 77]",52,1.0,5
[53],88,1.0,1
[40],79,1.0,1
"[20, 58]",15,1.0,2
[90],22,1.0,1
[20],88,1.0,1
"[41, 4, 22, 43]",46,1.0,4
"[76, 69]",78,1.0,2
"[95, 56]",35,1.0,2
"[34, 68]",2,1.0,2
"[99, 27]",15,1.0,2
"[97, 15]",20,1.0,2
"[15, 67]",44,1.0,2
[62],15,1.0,1
"[15, 2, 7]",20,1.0,3
"[66, 65]",89,1.0,2
[25],26,1.0,1
"[25, 34, 76, 69, 61]",71,1.0,5
"[53, 44]",48,1.0,2
[2],90,1.0,1
"[82, 52, 7]",38,1.0,3
"[26, 78, 45, 48, 23, 59]",61,1.0,6
"[50, 2]",18,1.0,2
[0],2,1.0,1
[52],16,1.0,1
[48],65,1.0,1
"[24, 98, 60, 61]",69,1.0,4
"[76, 60]",61,1.0,2
[7],10,1.0,1
[36],9,1.0,1
"[57, 15, 94]",7,1.0,3
"[28, 43, 74, 14, 2, 27, 9, 80, 15, 73, 67]",18,1.0,11
[36],94,1.0,1
"[81, 67, 29]",23,1.0,3
[61],81,1.0,1
[72],7,1.0,1
[70],10,1.0,1
"[77, 48]",38,1.0,2
[20],88,1.0,1
[50],43,1.0,1
[19],39,1.0,1
[81],44,1.0,1
[9],70,1.0,1
"[15, 88]",83,1.0,2
[61],23,1.0,1
"[15, 83, 9]",20,1.0,3
"[52, 7, 49]",82,1.0,3
[30],16,1.0,1
"[51, 77, 20, 15]",7,1.0,4
"[25, 26]",89,1.0,2
"[70, 10]",9,1.0,2
"[9, 49]",97,1.0,2
"[48, 11, 44]",23,1.0,3
[80],17,1.0,1
"[7, 49]",52,1.0,2
"[27, 15]",20,1.0,2
[46],22,1.0,1
"[20, 15, 58, 7]",30,1.0,4
[18],20,1.0,1
[7],52,1.0,1
[82],7,1.0,1
"[24, 31, 23]",61,1.0,3
"[15, 94, 11]",20,1.0,3
"[15, 20]",56,1.0,2
[15],14,1.0,1
"[24, 15]",38,1.0,2
[7],77,1.0,1
"[40, 74, 15, 10]",7,1.0,4
"[84, 71, 10]",4,1.0,3
[29],84,1.0,1
[2],92,1.0,1
"[47, 4, 2, 15, 20, 27]",39,1.0,6
[75],33,1.0,1
"[6, 17, 10]",62,1.0,3
[10],70,1.0,1
"[53, 59, 12]",20,1.0,3
[40],14,1.0,1
[8],24,1.0,1
[57],15,1.0,1
[2],47,1.0,1
[49],48,1.0,1
[41],69,1.0,1
"[44, 40, 59]",65,1.0,3
"[15, 27]",87,1.0,2
[19],73,1.0,1
"[15, 20, 69, 41]",23,1.0,4
[47],1,1.0,1
"[27, 15]",20,1.0,2
"[24, 32, 23, 64]",73,1.0,4
[9],2,1.0,1
"[9, 70, 10]",49,1.0,3
"[55, 7]",52,1.0,2
"[53, 73]",12,1.0,2
"[0, 14, 58]",52,1.0,3
[20],51,1.0,1
"[32, 69, 23, 49, 46, 43]",41,1.0,6
"[24, 50, 9, 77, 7]",43,1.0,5
[43],46,1.0,1
"[45, 76]",61,1.0,2
"[15, 20]",43,1.0,2
[21],47,1.0,1
"[26, 62, 23, 64]",69,1.0,4
[7],97,1.0,1
"[2, 14]",13,1.0,2
"[22, 15]",91,1.0,2
"[5, 56, 4]",20,1.0,3
"[28, 63, 14, 9]",21,1.0,4
"[7, 2, 15, 20]",49,1.0,4
[67],40,1.0,1
"[2, 65, 27, 99, 20]",15,1.0,5
[7],21,1.0,1
"[54, 20, 15]",93,1.0,3
"[7, 51]",20,1.0,2
[63],1,1.0,1
[22],38,1.0,1
"[13, 37, 14, 5, 10]",70,1.0,5
[69],66,1.0,1
"[38, 62]",52,1.0,2
"[15, 20]",52,1.0,2
[15],20,1.0,1
"[15, 62, 73]",85,1.0,3
"[64, 27]",99,1.0,2
[20],17,1.0,1
[11],59,1.0,1
"[89, 44, 79]",66,1.0,3
